902 1800
-101.12849 24.37264 -51.06058
-106.69636 33.37014 -52.40026
-88.76996 29.62052 -58.55588
-92.74153 23.63239 -55.46696
-103.34873 14.40557 -42.47004
-110.55424 12.41790 -34.52211
-97.19516 4.38972 -39.13055
-99.02198 -9.66863 -29.98484
-82.15813 -18.65505 -34.66293
-92.22096 -21.36339 -29.08626
-88.33040 5.89145 -45.69146
-80.28819 -5.12238 -42.59097
-72.39987 -31.31823 -34.20826
-74.58498 -45.75053 -30.49610
-47.71773 -55.48803 -34.04006
-63.28971 -57.34289 -30.75507
-59.72378 -29.25450 -38.94930
-46.60346 -41.53548 -38.20613
-32.92640 -64.75107 -33.31258
-36.11549 -75.01172 -28.38236
-1.26094 -76.18120 -31.38427
-21.11577 -80.33626 -26.93960
-15.71471 -60.13671 -36.68763
0.92036 -66.29098 -36.01124
13.42211 -80.54538 -29.40954
7.93451 -87.83241 -21.80399
31.04495 -77.32044 -32.34107
43.56885 -82.47099 -27.67247
57.19924 -68.27327 -38.08141
56.94335 -78.01200 -30.57885
31.99636 -67.58009 -37.95879
44.21472 -63.05460 -40.76914
67.33564 -60.80920 -40.42621
77.96314 -62.71241 -35.84661
86.28150 -43.96706 -41.39323
88.13710 -54.01507 -36.60747
63.18386 -49.82542 -44.52056
72.12328 -41.88159 -44.87631
94.02820 -36.93745 -39.83689
105.81171 -39.06525 -33.83294
102.76650 -22.47902 -33.17655
111.04036 -31.21552 -30.70029
87.19108 -29.81804 -42.16225
91.12893 -23.40932 -39.06432
60.06722 -10.56639 -46.33734
64.23409 3.18993 -42.20871
82.85119 -15.85182 -40.70872
70.19841 -18.06844 -45.67390
29.21743 7.28746 -45.14531
49.07033 13.27589 -41.38819
41.89674 -13.32337 -49.37478
26.62877 -5.39705 -49.21025
9.39969 16.78055 -45.00309
8.52017 32.19030 -39.78048
-27.00255 36.71257 -48.81357
-11.31182 41.50599 -41.27864
-9.15634 13.67822 -51.54123
-25.96651 23.97511 -53.85604
-37.92259 46.93107 -50.72019
-38.05009 59.93646 -45.90016
-44.28883 44.06085 -55.42970
-46.90646 53.94799 -54.37360
-56.69848 36.90027 -60.44802
-52.83436 49.03033 -56.55713
-46.29990 32.70127 -60.00792
-52.84551 30.69646 -62.68284
-64.83147 30.87512 -62.36818
-72.39973 33.75353 -60.31780
-75.90832 19.14515 -63.39444
-79.91233 27.01718 -61.03886
-65.41520 22.19229 -65.57777
-69.03855 17.09727 -66.09962
-77.97077 13.42127 -59.50726
-86.46988 15.18747 -54.04135
-70.46152 4.77501 -57.91470
-70.46309 -4.56574 -48.98360
-51.24148 -13.86512 -52.03189
